num,original,verified,author,status
42,An Illustrated History of Music for Young Musicians- The Baroque Period,An Illustrated History of Music for Young Musicians- The Baroque Period,Gilles Comeau and Rosemary Covert,not found
43,An Illustrated History of Music for Young Musicians- The Twentieth Century,An Illustrated History of Music for Young Musicians- The Twentieth Century,Gilles Comeau and Rosemary Covert,not found
44,Classical Themes for All Keyboards,Classical Themes for All Keyboards,Wise Publications,not found
45,"Fun with Composers- Vol 2- A Simple, Fun Approach to Classical Music- Pre K- Grade 3","Fun with Composers- Vol 2- A Simple, Fun Approach to Classical Music- Pre K- Grade 3",Deborah Lyn Ziolkoski,not found
46,The Recorder Consort- 47 pieces for recorder consort collected by Steve Rosenberg,The Recorder Consort- 47 pieces for recorder consort collected by Steve Rosenberg,Steve Rosenberg,not found
47,Playtime- Instrumental Pieces,Playtime- Instrumental Pieces,Shirley W. McRae,not found
48,More Hooked on Easy Piano Classics- Vol. 2,More Hooked on Easy Piano Classics- Vol. 2,Edwin McLean,not found
49,Recorder Rudiments,Recorder Rudiments,Irene Enns,not found
50,Recorder Rudiments,Recorder Rudiments,Irene Enns,not found
51,400 Super Song Fest- Folk Songs of Today- No. 2,400 Super Song Fest- Folk Songs of Today- No. 2,Charles Hansen,not found
52,Sound Foundation- Practical Jazz/Blues Theory- Revised 2000,Sound Foundation- Practical Jazz/Blues Theory- Revised 2000,Joyce Pinckney,not found
53,Musica Activa- An Approach to Music Education,Musica Activa- An Approach to Music Education,Jos Wuytack,not found
54,What to Teach When- K- 1 Grades- A Thoughtful and Engaging Music Curriculum,What to Teach When- K- 1 Grades- A Thoughtful and Engaging Music Curriculum,Don Dupont and Brian Hiller,not found
55,What to Teach When- 2-3 Grades- A Thoughtful and Engaging Music Curriculum,What to Teach When- 2-3 Grades- A Thoughtful and Engaging Music Curriculum,Don Dupont and Brian Hiller,not found
56,What to Teach When- 4-5 Grades- A Thoughtful and Engaging Music Curriculum,What to Teach When- 4-5 Grades- A Thoughtful and Engaging Music Curriculum,Don Dupont and Brian Hiller,not found
57,"First, We Sing! Kodaly-Inspired Teaching for the Music Classroom","First, We Sing! Kodaly-Inspired Teaching for the Music Classroom",Susan Brumfield,not found
58,"First, We Sing! Songbook One- Songs and Games for the Music Class","First, We Sing! Songbook One- Songs and Games for the Music Class",Susan Brumfield,not found
59,"First, We Sing! Songbook Two- Songs and Games for the Music Class","First, We Sing! Songbook Two- Songs and Games for the Music Class",Susan Brumfield,not found
60,"First, We Sing! Songbook Three- Songs and Games for the Music Class","First, We Sing! Songbook Three- Songs and Games for the Music Class",Susan Brumfield,not found
61,Songs of the Earth- Music of the World,Songs of the Earth- Music of the World,Anna Kealoha,not found
62,"Exploring Rhythm Instruments- An easy guide to teaching and playing ""The Percussion Family""","Exploring Rhythm Instruments- An easy guide to teaching and playing ""The Percussion Family""",Joe Berarducci,not found
63,School for Hand Drum- Book 1 Part A,School for Hand Drum- Book 1 Part A,Werner Stadler and Manfred Perchermeier,not found
64,The Sweet Pipes Recorder Book- A Method for Adults and Older Beginners- Soprano,The Sweet Pipes Recorder Book- A Method for Adults and Older Beginners- Soprano,Gerald Burakoff and William Hettrick,not found
65,The Sweet Pipes Recorder Book- A Method for Adults and Older Beginners- Alto,The Sweet Pipes Recorder Book- A Method for Adults and Older Beginners- Alto,Gerald Burakoff and William Hettrick,not found
66,The Sweet Pipes Recorder Book- A Method for Adults and Older Beginners- Alto,The Sweet Pipes Recorder Book- A Method for Adults and Older Beginners- Alto,Gerald Burakoff and William Hettrick,not found
67,Sound Thinking- Music for Sightsinging and Ear Training,Sound Thinking- Music for Sightsinging and Ear Training,Philip Tacka and Micheal Houlahan,not found
68,The Penguin Book of Canadian Folk Songs,The Penguin Book of Canadian Folk Songs,Edith Fowke,not found
69,The Penguin Book of Canadian Folk Songs,The Penguin Book of Canadian Folk Songs,Edith Fowke,not found
70,The Penguin Book of Canadian Folk Songs,The Penguin Book of Canadian Folk Songs,Edith Fowke,not found
71,Kidstix- Rockin' Repertoire for Rhythm Readiness- Grades 3-6,Kidstix- Rockin' Repertoire for Rhythm Readiness- Grades 3-6,Artie Almeida,not found
72,Mallet Madness Strikes Again,Mallet Madness Strikes Again,Add details,not found
73,Kodaly method books- ????,Kodaly method books- ????,,not found
74,Rhythm and Movement- Applications of Dalcroze Eurthymics,Rhythm and Movement- Applications of Dalcroze Eurthymics,Elsa Findlay,not found
75,Favorite Nursery Rhymes,Favorite Nursery Rhymes,Novello,not found
76,Peter and the Wolf- Simplified for Piano- Story and Coloring book Illustrations,Peter and the Wolf- Simplified for Piano- Story and Coloring book Illustrations,Richard Bradley,not found
77,A Holiday in Canada,A Holiday in Canada,Boris Berlin,not found
78,Let's Have a Rhythm Band,Let's Have a Rhythm Band,Eva Mirchin,not found
79,Quick Starts for Young Choir- Activities and Ideas to Focus Young Singers,Quick Starts for Young Choir- Activities and Ideas to Focus Young Singers,Cristi Cary Miller and Angela K McKenna,not found
80,The Muppet Movie- Made Easy for Piano,The Muppet Movie- Made Easy for Piano,ATV Music Publications,not found
81,"Music for Little Mozarts- A Piano Course to Bring out the Music in Every Young Child Ages 4, 5, and 6- Sampler","Music for Little Mozarts- A Piano Course to Bring out the Music in Every Young Child Ages 4, 5, and 6- Sampler",,not found
82,Make it Music- Dalcroze Strategies for Every Classroom,Make it Music- Dalcroze Strategies for Every Classroom,Anthony Molinaro and Stephen Neely,not found
83,Make it Music- Dalcroze Strategies for Every Classroom- Card Set,Make it Music- Dalcroze Strategies for Every Classroom- Card Set,Anthony Molinaro and Stephen Neely,not found
84,Comprehensive Recorder Method- Singing and Playing with Orff Instruments- Teacher's Manual,Comprehensive Recorder Method- Singing and Playing with Orff Instruments- Teacher's Manual,Lawrence and Elizabeth Wheeler,not found
85,Teaching Music,Teaching Music,James P. O'Brien,not found
86,"Rhythm to Recovery- A Practical Guide for Using Rhythmic Music, Voice and Movement for Social and Emotional Development","Rhythm to Recovery- A Practical Guide for Using Rhythmic Music, Voice and Movement for Social and Emotional Development",Simon Faulkner,not found
87,Dalcroze Eurhythmics in Today's Music Classroom,Dalcroze Eurhythmics in Today's Music Classroom,Virginia Hoge Mead,not found
88,"Sing a Song, Play a Game- Singing Games from Around the World","Sing a Song, Play a Game- Singing Games from Around the World",Aimee Curtis Pfitzner,not found
89,Hands to Hands- Hand Clapping Songs and Games from Around the World,Hands to Hands- Hand Clapping Songs and Games from Around the World,Aimee Curtis Pfitzner,not found
90,"Painted Music- Integrated art, music and children's literature activities","Painted Music- Integrated art, music and children's literature activities",Aimee Curtis Pfitzner,not found
91,"Singing waters, Dancing Flames- Music and the Elements","Singing waters, Dancing Flames- Music and the Elements",Aimee Curtis Pfitzner,not found
92,"Playful Possibilities- Children's Literature, Props and Play!","Playful Possibilities- Children's Literature, Props and Play!",Aimee Curtis Pfitzner,not found
93,The Little Shoemaker- Piano song pamplet,The Little Shoemaker- Piano song pamplet,Rudi Revil,not found
94,Charlie Brown's Greatest Hits- From Vince Guaraldi's Theme Music for the Peanuts Television Specials,Charlie Brown's Greatest Hits- From Vince Guaraldi's Theme Music for the Peanuts Television Specials,,not found
95,Fiddleworks- A fab collection of new and traditional fiddle tunes and two CD's for all levels of fiddlers,Fiddleworks- A fab collection of new and traditional fiddle tunes and two CD's for all levels of fiddlers,Jaime Rokeby-Thomas,not found
96,"Jamaica Play- Ring plays, phymes and rhythms from Jamaica","Jamaica Play- Ring plays, phymes and rhythms from Jamaica",Dawn Eaton Muir,not found
97,"First Steps in Music with Orff Schulwerk- Sing, Say, Dance, Play","First Steps in Music with Orff Schulwerk- Sing, Say, Dance, Play",Many Authors,not found
98,Orff-Schulwer Rediscovered- Music and teaching models,Orff-Schulwer Rediscovered- Music and teaching models,Rainer Kotzian,not found
99,Dance like a butterfly,Dance like a butterfly,,not found
100,Voice Collectors,Voice Collectors,,not found
101,The rhythm of somalia,The rhythm of somalia,,not found
102,Harambee,Harambee,,not found
103,It's Time- A resource from Carl Orff Canada,It's Time- A resource from Carl Orff Canada,,not found
104,First steps in Global Music,First steps in Global Music,Karen Howard,not found
105,"55 Games to Sing, Say and Play","55 Games to Sing, Say and Play",Kerri Lynn Nichols,not found
106,Creative Activities for Teaching General Music,Creative Activities for Teaching General Music,Victoria Boler,not found
107,Sing Sing Sing!- Songs for Fun and Learning,Sing Sing Sing!- Songs for Fun and Learning,Artie Almedia,not found
108,It's Elemental- Lessons that Engage,It's Elemental- Lessons that Engage,Don Dupont and Brian Hiller,not found
109,It's Elemental 2- More Lessons that Engage,It's Elemental 2- More Lessons that Engage,Don Dupont and Brian Hiller,not found
110,"World Music Drumming- A Cross Cultural Curriculum- Enhanced with Song & Drum Ensemble Recordings, Projectable/Printable PDF's and Video Demonstrations- 20th Anniversary Edition","World Music Drumming- A Cross Cultural Curriculum- Enhanced with Song & Drum Ensemble Recordings, Projectable/Printable PDF's and Video Demonstrations- 20th Anniversary Edition",Will Schmid,not found
111,African Rhythms & Beats- Bringing African Traditions to the Classroom,African Rhythms & Beats- Bringing African Traditions to the Classroom,Calla Isaak,not found
112,Canya Conga- Conga Drum Activities for Grades 4-8,Canya Conga- Conga Drum Activities for Grades 4-8,Chris Judah-Lauder,not found
113,"D.R.U.M- Discipline, Respect, and Unity Through Music","D.R.U.M- Discipline, Respect, and Unity Through Music",Jim Solomon,not found
114,Peanut Butter Jam- An Introduction to World Music Drumming,Peanut Butter Jam- An Introduction to World Music Drumming,Will Schmid,not found
115,Happy Jammin'- Really Cool Music for Recorders with Optional Percussion Ensemble,Happy Jammin'- Really Cool Music for Recorders with Optional Percussion Ensemble,Paul Corbiere,not found
116,Artful-Playful-Mindful in Action- A New Orff Schulwerk Curriculum for Music Making and Music Thinking,Artful-Playful-Mindful in Action- A New Orff Schulwerk Curriculum for Music Making and Music Thinking,Schott- SMC 576,not found
117,Artful-Playful-Mindful in Action- Orff Schulwerk Classroom Topics for a New Generation of Learners,Artful-Playful-Mindful in Action- Orff Schulwerk Classroom Topics for a New Generation of Learners,Ed: Leonard Davis and Diana Hawley Larsen,not found
118,Canadiana- Songs and Activities from Canadian Heritage for Orff Ensemble- 2nd Edition,Canadiana- Songs and Activities from Canadian Heritage for Orff Ensemble- 2nd Edition,Judy Sills,not found
119,Dalcroze Eurhythmics in the Choral Classroom,Dalcroze Eurhythmics in the Choral Classroom,Marla Butke and David Frego,not found
120,Alfred's Essentials of Music Theory- Book 1,Alfred's Essentials of Music Theory- Book 1,"Andrew Surmani, Karen Surmani, Morton Manus",not found
121,Music for Children- Orff-Schulwerk- American Edition- 1- Preschool,Music for Children- Orff-Schulwerk- American Edition- 1- Preschool,Schott- SMC 12,not found
122,Music for Children- Orff-Schulwerk- American Edition- 2- Primary,Music for Children- Orff-Schulwerk- American Edition- 2- Primary,Schott-,not found
123,Yoga in Motion Workbook- Companion playbook for yoga in motion interactive video and happy and cozy music,Yoga in Motion Workbook- Companion playbook for yoga in motion interactive video and happy and cozy music,Alima Clarke and Shakta Kaur Khalsa,not found
124,Sound Thinking-Developing Musical Literacy- Vol 1,Sound Thinking-Developing Musical Literacy- Vol 1,Philip Tacka and Micheal Houlahan,not found
125,Sound Thinking-Developing Musical Literacy- Vol 2,Sound Thinking-Developing Musical Literacy- Vol 2,Philip Tacka and Micheal Houlahan,not found
126,Fly like a Butterfly- Yoga for Children,Fly like a Butterfly- Yoga for Children,Shakta Kaur Khalsa,not found
127,An Orff Mosaic from Canada,An Orff Mosaic from Canada,Ed: Lois Birkenshaw-Fleming,not found
128,Sing with Chords,Sing with Chords,Forrest J. Baird,not found
129,Step Lively 2- Canadian Dance Favorites,Step Lively 2- Canadian Dance Favorites,Marion Rose,not found
130,Step Liveley- Dances for Schools and Families,Step Liveley- Dances for Schools and Families,Marion Rose,not found
131,Dansez en Francais- French Dance for Classroom and Community,Dansez en Francais- French Dance for Classroom and Community,Marion Rose,not found
132,"Chantons, dansons!- Songs, games and dances for Learners of French","Chantons, dansons!- Songs, games and dances for Learners of French",Marion Rose,not found
133,Music lessons- Grades 1-3- Canadian Curriculum Teacher Helper,Music lessons- Grades 1-3- Canadian Curriculum Teacher Helper,Geowat Innovative Teacher Publishing,not found
134,Music for Everyone- Pre K to 2nd,Music for Everyone- Pre K to 2nd,Teacher Created Resources,not found
135,"Kids can Listen, Kids can move!","Kids can Listen, Kids can move!",Lynn Kleiner,not found
136,Singing Games Children Love- Vol. 1,Singing Games Children Love- Vol. 1,Denise Gagne,not found
137,Singing Games Children Love- Vol. 2,Singing Games Children Love- Vol. 2,Denise Gagne,not found
138,Singing Games Children Love- Vol. 4,Singing Games Children Love- Vol. 4,Denise Gagne,not found
139,A Child and Rhythm,A Child and Rhythm,Theresa Newman,not found
140,Music by Me- A composition workbook,Music by Me- A composition workbook,Kevin Olson and Wynn-Anne Rossi,not found
141,"Spirituals for Two- 9 Duets on Tradiitonal Spirituals for Concerts, Contests, Recitals and Worship","Spirituals for Two- 9 Duets on Tradiitonal Spirituals for Concerts, Contests, Recitals and Worship",,not found
142,"Marimba Muisc for Little Kids- songs and easy pieces with music for diatonic marimbas, xylophones and other instruments","Marimba Muisc for Little Kids- songs and easy pieces with music for diatonic marimbas, xylophones and other instruments",Jon Madin,not found
143,"Marimba Muisc 1- Easy arrangements for diatonic marimbas, xylophones, recorders and other instruments","Marimba Muisc 1- Easy arrangements for diatonic marimbas, xylophones, recorders and other instruments",Jon Madin,not found
144,Jump Jim Joe- Great Singing Games for Children- a companion recording,Jump Jim Joe- Great Singing Games for Children- a companion recording,New England Dancing Masters Production,not found
145,String Explorere- A Journey into the Wonders of String Playing- Cello- Book 1,String Explorere- A Journey into the Wonders of String Playing- Cello- Book 1,,not found
146,Bach for the Cello- 10 pieces in first position,Bach for the Cello- 10 pieces in first position,Charles Krane,not found
147,More Popular Songs for the Recorder,More Popular Songs for the Recorder,Clive Sansom,not found
148,FUNdamental Musicianship Skills for Piano and Keyboard- Activities for private or group lessons to prepare for the national guild of piano teachers musicianship phases,FUNdamental Musicianship Skills for Piano and Keyboard- Activities for private or group lessons to prepare for the national guild of piano teachers musicianship phases,June Montgomery,not found
149,Phonemic awareness songs and rhymes- Spring,Phonemic awareness songs and rhymes- Spring,Kimerly Jordano and Trisha Callela,not found
150,Guitar Basics- A Beginning Guitar Method,Guitar Basics- A Beginning Guitar Method,Michael Christiansen,not found
151,The irish Songbook- 75 Songs by The Clancy Brothers and Tommy Makem,The irish Songbook- 75 Songs by The Clancy Brothers and Tommy Makem,"Robert DeCormier, Joy Graeme and Pete Hamill",not found
152,Making Music Come Alive,Making Music Come Alive,Nancy Telfer,not found
153,African Drum Workshop- Vol 1- Introduction to Djembe,African Drum Workshop- Vol 1- Introduction to Djembe,David Thiaw,not found
154,The Soul of Hand Drumming- A companion book for beginner to advanced solo and circle hand drumming,The Soul of Hand Drumming- A companion book for beginner to advanced solo and circle hand drumming,Doug Sole,not found
155,"Expressive singing- 3rd Ed- Vol 1- Guidance, technical principal exercises and basics of interpretation for school or studio class or private teaching","Expressive singing- 3rd Ed- Vol 1- Guidance, technical principal exercises and basics of interpretation for school or studio class or private teaching",Van A. Christy,not found
156,Music in Childhood- From preschool through the elementary grades,Music in Childhood- From preschool through the elementary grades,Patrician Shehan Campbell and Carol Scott-Kassner,not found
157,Marsalis on Music- The companion to the public television series,Marsalis on Music- The companion to the public television series,Wynton Marsalis,not found
158,"The Power of Music- Harness the creative energy of music to heal the body, soothe the mind and feed the soul","The Power of Music- Harness the creative energy of music to heal the body, soothe the mind and feed the soul",Cynthia Blanche and Antonia Beattie,not found
159,The jolly Sailor- Piano solo- leaflet,The jolly Sailor- Piano solo- leaflet,Louise C. Rebe,not found
160,Let's Sing together- listening to music- 1973-1974- Leaflet,Let's Sing together- listening to music- 1973-1974- Leaflet,"Manitoba, Alberta, BC Dept of Ed and CBC",not found
161,Music together at home- helping your child grow musically,Music together at home- helping your child grow musically,Music together,not found
162,"Making each minute count- Time savers, tips and kid tested strategies for the music class","Making each minute count- Time savers, tips and kid tested strategies for the music class",Cheryl Lavender,not found
163,"Come on Everybody, Let's Sing (Revised Edition)- Music activities for all children in regular and special classes","Come on Everybody, Let's Sing (Revised Edition)- Music activities for all children in regular and special classes",Lois Birkenshaw-Felming,not found
164,"Come on Everybody, Let's Sing (Revised Edition)- Music activities for all children in regular and special classes","Come on Everybody, Let's Sing (Revised Edition)- Music activities for all children in regular and special classes",Lois Birkenshaw-Felming,not found
165,Mon premier livre de flute a bec,Mon premier livre de flute a bec,Usborne- Caroline Hooper and Philip Hawthorne,not found
166,The Reader's Digest Children's Songbook- All Time Family Favorites- Includes lyrics pamphlet,The Reader's Digest Children's Songbook- All Time Family Favorites- Includes lyrics pamphlet,,not found
167,The puffin song book,The puffin song book,Leslie Woodgate,not found
168,150 american folks songs to sing read and play,150 american folks songs to sing read and play,Peter Erdei,not found
169,Sound Beginnings- First book in the Basic Goals in Music Series,Sound Beginnings- First book in the Basic Goals in Music Series,Lloyd Slind and Frank Churchley,not found
170,The complete book of music games and activities for early childhood,The complete book of music games and activities for early childhood,Margaret Athey and Gwen Hotchkiss,not found
171,"Tinwhistle Today- How to play celtic, folk, blues, jazz, rock and classical music","Tinwhistle Today- How to play celtic, folk, blues, jazz, rock and classical music",David Harp,not found
172,Sacred Drumming,Sacred Drumming,Steven Ash,not found
173,The singing book- intermediate level- A music book based on the educational principles of Zoltan Kodaly,The singing book- intermediate level- A music book based on the educational principles of Zoltan Kodaly,Mary Alice Hein and Lois Choksy,not found
174,The singing book- intermediate level- A music book based on the educational principles of Zoltan Kodaly,The singing book- intermediate level- A music book based on the educational principles of Zoltan Kodaly,Mary Alice Hein and Lois Choksy,not found
175,The singing book- Beginning Level- A children's song book based on the principles of Zoltan Kodaly,The singing book- Beginning Level- A children's song book based on the principles of Zoltan Kodaly,Mary Alice Hein and Lois Choksy,not found
176,Ride with Me- A Journey from Unison to Part Singing- Teacher Book,Ride with Me- A Journey from Unison to Part Singing- Teacher Book,John Barron,not found
177,Ride with Me- A Journey from Unison to Part Singing- Teacher Book,Ride with Me- A Journey from Unison to Part Singing- Teacher Book,John Barron,not found
178,Ride with Me- A Journey from Unison to Part Singing- Student Book,Ride with Me- A Journey from Unison to Part Singing- Student Book,John Barron,not found
179,Holiday and Game songs- Musicplay 1 Revision- Includes Orff Arrangements,Holiday and Game songs- Musicplay 1 Revision- Includes Orff Arrangements,Denise Gagne,not found
180,"Selected songs, singing games and actions songs- Grades one and Two","Selected songs, singing games and actions songs- Grades one and Two",Marilyn Kerley,not found
181,"Selected songs, singing games and actions songs- Grades Three and Four","Selected songs, singing games and actions songs- Grades Three and Four",Marilyn Kerley,not found
182,Selected Folk songs and Partner Songs- Teacher Resource- Grades Five and Six,Selected Folk songs and Partner Songs- Teacher Resource- Grades Five and Six,Marilyn Kerley,not found
183,Orff Day by Day- Classroom Projects in music and movement,Orff Day by Day- Classroom Projects in music and movement,Alice Brass,not found
184,Just Five- A Collection of Pentatonic Songs,Just Five- A Collection of Pentatonic Songs,Robert Kersey,not found
185,Lessons in Music Writing- Part Two,Lessons in Music Writing- Part Two,Boris Berlin,not found
186,55X Funtastic- 55 songs with motion for children,55X Funtastic- 55 songs with motion for children,"Jos Wuytack, adapted by Judy Sills",not found
187,"Sally Go Round the Sun- Three hundred children's songs, rhymes and games","Sally Go Round the Sun- Three hundred children's songs, rhymes and games",Edith Fowke,not found
188,Technology Integration in the Elementary Music Classroom,Technology Integration in the Elementary Music Classroom,Amy Burns,not found
189,Crafts of Many Cultures- 30 Authentic craft projects from around the world,Crafts of Many Cultures- 30 Authentic craft projects from around the world,Aurelia Gomez,not found
190,Land of the Silver Birch- Early Intermediate Folksongs for Piano- Book 2,Land of the Silver Birch- Early Intermediate Folksongs for Piano- Book 2,Nancy Telfer,not found
191,"National Anthems- Piano/vocal arrangements, reproducible vocal scores, performance/accompaniment CD in a variety of keys","National Anthems- Piano/vocal arrangements, reproducible vocal scores, performance/accompaniment CD in a variety of keys",Tominik Hauser- Themes and Variations,not found
192,"101 Music activities- Reinforce ""fun""damentals,listening and literacy","101 Music activities- Reinforce ""fun""damentals,listening and literacy",Mary Donnelly,not found
193,Chansons pour s'amuser- Songs to play and sing- with accompaniments for Orff instruments,Chansons pour s'amuser- Songs to play and sing- with accompaniments for Orff instruments,Ada Vermeulen,not found
194,Chansons pour s'amuser- more songs to play and sing- with accompaniments for Orff instruments,Chansons pour s'amuser- more songs to play and sing- with accompaniments for Orff instruments,Ada Vermeulen,not found
195,My You're Canadian- Music for Young Children,My You're Canadian- Music for Young Children,Frances Baldoids,not found
196,Help! I'm a Substitute Music Teacher- A Collection of Games and Activities for Survival in the Classroom,Help! I'm a Substitute Music Teacher- A Collection of Games and Activities for Survival in the Classroom,Cheryl Lavender,not found
197,Focus on Composers- Grades 4-8,Focus on Composers- Grades 4-8,Teacher Created Materials,not found
198,"The Super Amazing Music Activities Book- Ideas and exercises for exploring notes and rhythms, ear training, instrument families, famous composers","The Super Amazing Music Activities Book- Ideas and exercises for exploring notes and rhythms, ear training, instrument families, famous composers",Janet Vogt,not found
199,"Meet the Great Composers- Short sessions on the lives, times and music of great composers- Book 1","Meet the Great Composers- Short sessions on the lives, times and music of great composers- Book 1",June Montgomery and Maurice Hinson,not found
200,"Meet the Great Composers- Short sessions on the lives, times and music of great composers- Book 1","Meet the Great Composers- Short sessions on the lives, times and music of great composers- Book 1",June Montgomery and Maurice Hinson,not found
201,"Windsongs Series for Recorder, Orff or Kodaly Programs- Book 2- Ho Ho Watanay","Windsongs Series for Recorder, Orff or Kodaly Programs- Book 2- Ho Ho Watanay",Birthe Kulich and Joe Bernaducci,not found
202,Making music meaningful: A Sourcebook for Beginning Teachers,Making music meaningful: A Sourcebook for Beginning Teachers,,not found
203,Making music meaningful: A Sourcebook for Beginning Teachers,Making music meaningful: A Sourcebook for Beginning Teachers,,not found
204,Old tales in a new guise- Canadian Folk Melodies arranged for piano,Old tales in a new guise- Canadian Folk Melodies arranged for piano,Nancy Telfer,not found
205,Folksongs of the Maritimes- From the collection of Helen Creighton and other distinguished Maritime Folklorists,Folksongs of the Maritimes- From the collection of Helen Creighton and other distinguished Maritime Folklorists,Kaye Pottie and Vernon Ellis,not found
